work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,label
2021,EN,FT,Data Science Consultant,64369.0,DE,50,DE,L,Rest
2020,SE,FT,Data Scientist,68428.0,GR,100,US,L,Scientist
2021,EX,FT,Head of Data Science,85000.0,RU,0,RU,M,Leader position
2021,EX,FT,Head of Data,230000.0,RU,50,RU,L,Leader position
2021,EN,FT,Machine Learning Engineer,125000.0,US,100,US,S,Engineer
2021,SE,FT,Data Analytics Manager,120000.0,US,100,US,M,Leader position
2020,MI,FT,Research Scientist,450000.0,US,0,US,M,Scientist
2020,MI,FT,Data Analyst,46759.0,FR,50,FR,L,Analyst
2020,MI,FT,Data Engineer,74130.0,AT,50,AT,L,Engineer
2021,SE,FT,Data Science Engineer,127543.0,CA,50,CA,L,Engineer
2021,SE,FT,Manager Data Science,144000.0,US,100,US,L,Leader position
2021,EN,FT,Data Scientist,13400.0,UA,100,UA,L,Scientist
2021,MI,FT,Data Scientist,75966.0,CA,100,CA,L,Scientist
2021,MI,FT,Data Scientist,150000.0,US,100,US,M,Scientist
2020,MI,FT,Data Science Consultant,103000.0,US,100,US,L,Rest
2021,SE,FT,Data Engineering Manager,153000.0,US,100,US,L,Leader position
2021,MI,FT,Data Engineer,90000.0,US,100,US,L,Engineer
2021,EN,FT,Data Analyst,90000.0,US,100,US,S,Analyst
2021,EN,FT,Data Analyst,60000.0,US,100,US,S,Analyst
2021,MI,FT,Data Scientist,50000.0,NG,100,NG,L,Scientist
2021,EN,PT,AI Scientist,12000.0,PK,100,US,M,Scientist
2021,MI,PT,3D Computer Vision Researcher,5423.0,IN,50,IN,M,Rest
2021,MI,CT,ML Engineer,270000.0,US,100,US,L,Engineer
2021,MI,FT,Applied Data Scientist,54376.0,GB,50,CA,L,Scientist
2021,MI,FT,Machine Learning Engineer,47681.0,ES,100,ES,S,Engineer
2021,EX,FT,Director of Data Science,154963.0,IT,100,PL,L,Leader position
2021,MI,FT,Data Engineer,28801.0,PL,100,PL,L,Engineer
2021,MI,FT,Data Analytics Engineer,110000.0,US,100,US,L,Engineer
2021,EN,FT,Research Scientist,83000.0,GB,50,GB,L,Scientist
2020,EN,FT,Machine Learning Engineer,250000.0,US,50,US,L,Engineer
2021,EN,FT,Data Analyst,59601.0,FR,50,FR,M,Analyst
2021,SE,FT,Data Analyst,80000.0,BG,100,US,S,Analyst
2020,EN,FT,Data Analyst,10000.0,NG,100,NG,S,Analyst
2020,EN,FT,Machine Learning Engineer,138000.0,US,100,US,S,Engineer
2021,MI,FT,Data Engineer,140000.0,US,100,US,L,Engineer
2021,SE,FT,Data Analytics Engineer,79866.0,DE,100,DE,L,Engineer
2021,SE,FT,Lead Data Analyst,170000.0,US,100,US,L,Analyst
2021,EN,FT,Data Analyst,80000.0,US,100,US,M,Analyst
2020,MI,FT,Data Scientist,45760.0,PH,100,US,S,Scientist
2021,MI,FT,BI Data Analyst,100000.0,US,100,US,M,Analyst
2021,SE,FT,Data Scientist,53641.0,FR,50,FR,L,Scientist
2021,EX,FT,Head of Data,235000.0,US,100,US,L,Leader position
2021,EX,FT,BI Data Analyst,150000.0,IN,100,US,L,Analyst
2020,EX,FT,Data Engineering Manager,79833.0,ES,50,ES,L,Leader position
2021,EN,FT,Machine Learning Scientist,225000.0,US,100,US,L,Scientist
2021,EN,FT,Data Science Consultant,77481.0,DE,100,DE,S,Rest
2020,MI,FT,Machine Learning Infrastructure Engineer,50180.0,PT,0,PT,M,Engineer
2021,SE,FT,Marketing Data Analyst,89402.0,GR,100,DK,L,Analyst
2021,SE,FT,Lead Data Engineer,103750.0,GB,100,GB,S,Engineer
2021,SE,FT,Director of Data Engineering,114125.0,GB,100,GB,M,Leader position
2021,SE,FT,Machine Learning Engineer,95362.0,DE,50,DE,L,Engineer
2021,EN,FT,Data Engineer,30509.0,IN,100,IN,L,Engineer
2021,SE,FT,Data Engineer,150000.0,US,100,US,M,Engineer
2021,SE,FT,Data Engineer,115000.0,US,100,US,S,Engineer
2021,MI,FT,Research Scientist,187917.0,CA,100,CA,L,Scientist
2021,MI,FT,Data Analyst,51814.0,GB,50,GB,L,Analyst
2020,MI,FT,Data Engineer,106000.0,US,100,US,L,Engineer
2020,MI,FT,Data Engineer,112872.0,GB,50,GB,L,Engineer
2021,MI,FT,BI Data Analyst,36732.0,HU,50,US,L,Analyst
2021,SE,FT,Data Engineer,150000.0,US,100,US,L,Engineer
2020,EN,PT,ML Engineer,15966.0,DE,100,DE,S,Engineer
2021,MI,FT,Computer Vision Software Engineer,96554.0,DE,100,US,S,Engineer
2021,EN,FT,Computer Vision Software Engineer,70000.0,US,100,US,M,Engineer
2021,MI,FT,Financial Data Analyst,450000.0,US,100,US,L,Analyst
2020,MI,FT,Data Scientist,76958.0,GB,100,GB,S,Scientist
2021,MI,FT,Cloud Data Engineer,89514.0,SG,50,SG,L,Engineer
2021,EN,FT,Data Scientist,29831.0,IN,50,IN,L,Scientist
2021,SE,FT,Lead Data Engineer,276000.0,US,0,US,L,Engineer
2020,SE,FT,Data Engineer,188000.0,US,100,US,L,Engineer
2021,SE,FT,Cloud Data Engineer,160000.0,BR,100,US,S,Engineer
2020,MI,FT,Data Scientist,105000.0,US,100,US,L,Scientist
2021,MI,FT,Data Engineer,200000.0,US,100,US,L,Engineer
2021,SE,FT,Data Engineering Manager,174000.0,US,100,US,L,Leader position
2021,MI,FT,Data Analyst,93000.0,US,100,US,L,Analyst
2021,EN,FT,Data Scientist,28475.0,IN,100,IN,M,Scientist
2021,SE,FT,Research Scientist,61270.0,PT,50,PT,L,Scientist
2021,EN,FT,Data Scientist,90000.0,US,100,US,S,Scientist
2020,MI,FT,Data Engineer,70139.0,FR,50,FR,L,Engineer
2020,EN,FT,Data Analyst,6072.0,IN,0,IN,S,Analyst
2020,SE,FT,Data Engineer,33511.0,MX,0,MX,S,Engineer
2021,SE,FT,Principal Data Analyst,170000.0,US,100,US,M,Analyst
2021,SE,FT,Data Engineer,96833.0,GB,50,GB,L,Engineer
2021,MI,FT,Data Engineer,13105.0,TR,0,TR,M,Engineer
2021,EN,FT,Data Scientist,36952.0,FR,50,FR,L,Scientist
2021,MI,FT,Data Engineer,72625.0,GB,50,GB,L,Engineer
2020,EN,FT,Data Analyst,91000.0,US,100,US,L,Analyst
2021,SE,FT,Big Data Architect,99956.0,CA,50,CA,M,Rest
2021,SE,FT,Data Scientist,165000.0,US,100,US,L,Scientist
2021,MI,FT,Data Analyst,80000.0,US,100,US,L,Analyst
2021,SE,FT,Data Scientist,103954.0,CA,100,CA,L,Scientist
2021,EN,FT,Data Engineer,21695.0,IN,50,IN,M,Engineer
2020,EN,FT,Research Scientist,42000.0,NL,50,NL,L,Scientist
2020,MI,FT,Lead Data Scientist,115000.0,AE,0,AE,L,Scientist
2021,MI,FT,Research Scientist,63971.0,CA,100,CA,M,Scientist
2020,SE,FT,Machine Learning Scientist,260000.0,JP,0,JP,S,Scientist
2021,MI,FT,Head of Data Science,110000.0,US,0,US,S,Leader position
2021,MI,FT,Data Architect,180000.0,US,100,US,L,Rest
2021,SE,FT,Data Analyst,200000.0,US,100,US,L,Analyst
2020,SE,FT,Big Data Engineer,109024.0,GB,50,GB,M,Engineer
2021,SE,FT,Director of Data Engineering,200000.0,US,100,US,L,Leader position
2021,SE,FT,ML Engineer,256000.0,US,100,US,S,Engineer
2021,MI,FT,Data Engineer,110000.0,US,100,US,L,Engineer
2020,MI,FT,Data Scientist,79833.0,DE,0,DE,L,Scientist
2021,EN,FT,Data Engineer,72500.0,US,100,US,L,Engineer
2021,SE,FT,Machine Learning Engineer,185000.0,US,50,US,L,Engineer
2021,MI,PT,Data Engineer,70329.0,NL,100,NL,L,Engineer
2021,EN,FT,Research Scientist,100000.0,JE,0,CN,L,Scientist
2021,MI,FT,Data Engineer,112000.0,US,100,US,L,Engineer
2020,SE,FT,Machine Learning Engineer,150000.0,US,50,US,L,Engineer
2021,SE,FT,Data Scientist,21843.0,TR,50,TR,L,Scientist
2021,SE,FT,AI Scientist,55000.0,ES,100,ES,L,Scientist
